,id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
56,1206,yes,no,9.18,20,,0,0.0,0.0,0,1
57,1226,no,no,9.75,0,,0,0.0,0.0,0,1
58,1266,yes,yes,11.93,16,1.56,0,28.3,2.1,0,0
59,1281,no,no,5.62,0,,0,0.0,0.0,0,1
60,1296,yes,no,6.79,17,0.45,0,0.0,0.0,0,1
61,1311,no,no,5.1,13,,0,0.0,0.0,0,1
62,1327,no,no,7.61,13,,0,0.0,0.0,0,1
63,1413,no,no,11.93,24,,0,,,0,0
64,1414,no,no,5.28,13,,0,0.0,0.0,0,1
65,1416,no,no,7.64,39,,0,0.0,0.0,0,1
66,1455,no,no,6.97,14,,0,0.0,0.0,0,1
67,1457,yes,yes,6.92,0,,0,0.0,0.0,0,1
68,1492,yes,yes,11.93,20,1.8,1,62.6,5.2,0,0
69,1517,yes,no,11.93,37,0.44,0,26.5,2.2,0,0
70,1522,yes,yes,11.93,10,1.21,0,10.1,0.3,0,0
71,1568,no,no,5.62,0,,0,0.0,0.0,0,1
72,1662,yes,yes,11.93,21,0.21,0,48.2,2.9,0,0
73,1664,no,no,9.21,24,,0,0.0,0.0,0,1
74,1684,no,no,5.72,0,,0,0.0,0.0,0,1
75,1693,no,no,5.62,0,,0,0.0,0.0,0,1
76,1694,no,no,6.12,14,,0,0.0,0.0,0,1
77,1709,no,no,11.93,56,,6,117.3,15.1,0,0
78,1717,yes,no,10.08,20,,0,0.0,0.0,0,1
79,1733,no,no,6.81,12,,0,0.0,0.0,0,1
80,1744,yes,yes,8.19,14,0.0,4,11.5,2.0,0,1
81,1746,no,no,8.04,17,,0,0.0,0.0,0,1
82,1778,no,no,6.23,14,,0,0.0,0.0,0,1
83,1783,no,no,11.93,69,0.52,1,584.6,21.3,0,0
84,1793,no,no,11.93,33,,2,54.7,3.1,0,0
85,1805,no,no,11.93,24,,0,,,0,0
86,1810,yes,yes,11.93,40,1.1,0,446.2,8.9,0,0
87,1844,yes,yes,5.99,24,,0,0.0,0.0,0,1
88,1878,yes,no,11.93,24,,0,2.9,0.3,0,0
89,1893,yes,yes,8.38,46,0.0,0,10.8,0.9,0,1
90,1901,no,no,8.25,50,0.0,1,95.1,7.0,0,1
91,1915,yes,no,11.09,15,,0,0.0,0.0,0,1
92,1917,yes,yes,11.93,10,1.2,0,26.7,2.6,0,0
93,1934,no,no,7.29,14,,1,10.2,0.8,0,1
94,1947,no,no,5.34,53,,0,0.0,0.0,0,1
95,1950,yes,yes,11.93,15,1.66,0,2.8,0.2,0,0
96,1965,no,no,8.72,40,,0,161.6,17.0,0,1
97,1966,no,no,5.52,13,,0,0.0,0.0,0,1
98,1975,yes,no,11.93,30,0.97,0,168.6,15.6,0,0
99,1977,yes,no,7.81,24,,1,12.2,1.0,0,1
100,2005,yes,yes,12.8,0,,0,0.0,0.0,0,1
101,2008,no,no,11.93,56,,0,1140.3,65.4,0,0
102,2017,yes,yes,6.29,14,,0,0.0,0.0,0,1
103,2047,no,no,8.75,21,,0,13.7,1.7,0,1
104,2097,yes,yes,5.62,0,,0,0.0,0.0,0,1
105,2110,no,no,5.62,0,,0,0.0,0.0,0,1
106,2116,no,no,6.42,0,,0,0.0,0.0,0,1
107,2122,no,no,6.35,22,,2,0.0,0.0,0,1
108,2135,no,no,6.24,11,,0,0.0,0.0,0,1
109,2142,no,no,5.14,14,,0,0.0,0.0,0,1
110,2202,no,no,7.22,14,,0,0.0,0.0,0,1
111,2203,no,no,9.38,20,,1,2.0,0.2,0,1
112,2238,no,no,7.82,8,,0,0.0,0.0,0,1
113,2248,yes,no,11.93,25,0.4,0,,,0,0
114,2252,yes,no,9.59,25,,10,77.5,4.8,0,1
115,2290,yes,no,8.27,22,,5,96.1,5.7,0,1
116,2334,yes,no,10.55,22,0.0,0,5.0,0.4,0,1
117,2371,no,no,5.64,14,,0,0.0,0.0,0,1
118,2416,yes,no,8.36,0,,0,0.0,0.0,0,1
119,2499,no,no,6.54,0,,3,0.0,0.0,3,1
120,2538,no,no,7.09,7,,0,0.0,0.0,0,1
121,2567,yes,yes,11.93,59,0.46,0,78.2,36.4,0,0
122,2581,yes,no,6.83,12,,0,0.0,0.0,0,1
123,2587,yes,yes,9.23,20,,0,0.0,0.0,0,1
124,2684,no,no,5.62,0,,0,0.0,0.0,0,1
125,2705,no,no,5.62,0,,0,0.0,0.0,0,1
126,2733,yes,no,11.93,25,0.04,0,24.6,3.5,0,0
127,2760,no,no,10.24,0,,0,0.0,0.0,0,1
128,2781,yes,yes,11.93,15,1.26,0,7.1,0.9,0,0
129,2790,yes,no,9.96,29,,0,18.5,4.0,0,1
130,2796,no,no,5.47,16,,0,0.0,0.0,0,1
131,2839,yes,yes,11.93,21,1.74,0,111.9,6.6,0,0
132,2852,no,no,11.93,24,,0,,,0,0
133,2858,yes,yes,8.45,37,,2,10.1,1.6,0,1
134,2882,no,no,7.04,13,,0,0.0,0.0,0,1
135,2903,yes,no,11.93,24,,0,10.0,0.7,0,0
136,2926,yes,yes,11.93,34,1.68,2,265.7,18.4,0,0
137,2943,no,no,11.93,24,,0,0.7,0.1,0,0
138,2945,no,no,5.7,0,,0,0.0,0.0,0,1
139,2997,no,no,5.25,0,,0,0.0,0.0,0,1
140,3017,yes,yes,11.7,24,,0,0.0,0.0,0,1
141,3033,no,no,11.51,24,,0,0.0,0.0,0,1
142,3061,yes,no,5.51,0,,0,0.0,0.0,0,1
143,3086,yes,yes,11.93,17,1.77,0,14.1,1.0,0,0
144,3121,yes,no,10.19,14,,0,29.0,2.0,0,1
145,3133,yes,no,11.93,21,0.12,0,107.3,2.7,0,0
146,3175,no,no,6.26,13,,0,0.0,0.0,0,1
147,3191,yes,no,7.91,24,,0,11.4,1.6,0,1
148,3196,no,no,5.62,0,,0,0.0,0.0,0,1
149,3199,yes,no,5.3,12,,0,0.0,0.0,3,1
150,3210,yes,yes,11.93,15,1.65,0,5.2,0.2,0,0
151,3226,no,no,8.33,18,,0,0.0,0.0,0,1
152,3233,no,no,9.06,20,,0,0.0,0.0,0,1
153,3252,yes,no,11.89,24,,0,0.0,0.0,0,1
154,3267,yes,no,7.85,5,,0,0.0,0.0,0,1
155,3274,no,no,7.21,10,,0,0.0,0.0,0,1
156,3288,no,no,7.31,14,,0,2.5,0.2,0,1
157,3329,no,no,7.44,22,,2,18.1,2.6,0,1
158,3374,no,no,5.34,0,,0,0.0,0.0,0,1
159,3388,no,no,12.16,0,,0,0.0,0.0,0,1
160,3410,yes,yes,11.93,15,1.32,1,68.8,3.9,0,0
161,3433,no,no,6.92,21,0.33,1,0.0,0.0,0,1
162,3448,yes,yes,10.56,0,,0,0.0,0.0,0,1
163,3455,yes,yes,11.93,48,1.01,1,113.2,7.6,0,0
164,3473,no,no,5.53,0,,0,0.0,0.0,0,1
165,3475,no,no,5.61,0,,0,0.0,0.0,0,1
166,3476,yes,no,8.95,42,0.0,0,37.6,5.6,0,1
167,3477,no,no,5.69,13,,0,0.0,0.0,0,1
168,3488,yes,no,11.93,22,1.06,0,11.4,0.5,0,0
169,3521,no,no,5.94,0,,0,0.0,0.0,0,1
170,3531,no,no,5.47,0,,0,0.0,0.0,0,1
171,3547,no,no,7.73,0,,0,0.0,0.0,0,1
172,3634,no,no,5.69,0,,0,0.0,0.0,0,1
173,3649,no,no,6.07,0,,0,0.0,0.0,0,1
174,3707,no,no,7.47,0,,0,0.0,0.0,0,1
175,3714,no,no,7.36,0,,0,0.0,0.0,0,1
176,3733,no,no,8.32,0,,0,0.0,0.0,0,1
177,3793,no,no,5.43,18,0.0,0,0.0,0.0,0,1
178,3861,no,no,6.46,0,,0,0.0,0.0,0,1
179,3926,yes,yes,11.06,22,0.0,0,7.1,0.8,0,1
180,3964,yes,no,8.49,0,,0,0.0,0.0,0,1
181,4024,no,no,9.28,0,,0,0.0,0.0,0,1
182,4032,no,no,6.45,14,,0,0.0,0.0,0,1
183,4045,no,no,6.41,21,0.0,0,0.0,0.0,0,1
184,4082,yes,no,11.02,0,,0,0.0,0.0,0,1
185,4158,no,no,5.94,0,,0,0.0,0.0,0,1
186,4259,yes,yes,8.78,20,,0,3.0,0.5,0,1
187,4263,no,no,12.61,0,,0,0.0,0.0,0,1
188,4271,yes,yes,12.44,21,,0,4.8,0.1,0,1
189,4297,yes,no,8.05,0,,0,0.0,0.0,0,1
190,4347,no,no,5.69,0,,0,0.0,0.0,0,1
191,4389,yes,yes,11.93,19,1.88,0,52.4,2.2,0,0
192,4424,no,no,5.61,0,,0,0.0,0.0,0,1
193,4434,no,no,5.25,13,,0,0.0,0.0,0,1
194,4448,yes,no,7.65,0,,1,19.3,5.2,0,1
195,4479,no,no,9.56,0,,0,0.0,0.0,0,1
196,4518,no,no,5.98,0,,0,0.0,0.0,0,1
197,4521,no,no,6.27,0,,0,0.0,0.0,0,1
198,4522,no,no,10.06,0,,0,0.0,0.0,0,1
199,4526,yes,yes,12.19,0,,0,0.0,0.0,0,1
200,4537,no,no,5.61,0,,0,0.0,0.0,0,1
201,4544,no,no,7.45,0,,0,0.0,0.0,0,1
202,4556,no,no,9.99,0,,0,0.0,0.0,0,1
203,4579,no,no,7.08,0,,0,0.0,0.0,0,1
204,4612,no,no,9.57,0,,0,0.0,0.0,0,1
205,4645,no,no,5.37,0,,0,0.0,0.0,0,1
206,4667,no,no,7.08,0,,0,0.0,0.0,0,1
207,4672,no,no,11.93,24,,4,3.9,0.4,0,0
208,4674,no,no,7.32,20,,0,14.2,0.6,0,1
209,4692,no,no,8.36,0,,0,0.0,0.0,0,1
210,4700,yes,yes,6.28,24,,2,0.0,0.0,0,1
211,4711,no,no,5.12,0,,0,0.0,0.0,0,1
212,4781,yes,yes,11.92,10,1.26,0,23.6,1.7,0,0
213,4782,yes,no,5.98,21,,0,0.0,0.0,0,1
214,4785,yes,yes,11.92,32,0.99,0,0.0,0.0,0,0
215,4819,no,no,5.42,13,,0,0.0,0.0,0,1
216,4828,no,no,7.87,0,,0,0.0,0.0,0,1
217,4843,yes,yes,7.17,22,,0,2.9,0.3,0,1
218,4877,no,no,9.55,0,,0,0.0,0.0,0,1
219,4897,no,no,6.05,14,,0,0.0,0.0,0,1
220,4941,no,no,10.19,0,,0,0.0,0.0,0,1
221,4950,no,no,5.63,14,,0,0.0,0.0,0,1
222,4967,yes,no,7.77,0,,0,0.0,0.0,0,1
223,4973,no,no,9.55,18,,0,0.0,0.0,0,1
224,4985,yes,no,6.14,12,,1,0.0,0.0,0,1
225,5000,yes,yes,12.12,20,,0,0.3,0.7,0,1
226,5110,no,no,5.85,14,,0,0.0,0.0,0,1
227,5182,no,no,7.35,12,,0,0.0,0.0,0,1
228,5188,yes,yes,11.92,33,,0,,,0,0
229,5194,yes,yes,6.55,14,,1,0.0,0.0,0,1
230,5198,yes,yes,8.85,0,,0,0.0,0.0,0,1
231,5225,yes,yes,11.92,24,,0,37.0,5.8,0,0
232,5248,no,no,5.12,0,,0,0.0,0.0,0,1
233,5292,yes,yes,6.03,0,,0,0.0,0.0,0,1
234,5308,yes,no,11.92,31,,0,0.3,0.0,0,0
235,5325,yes,yes,11.92,24,,0,0.1,0.0,0,0
236,5338,yes,yes,11.92,24,1.01,0,36.7,1.9,0,0
237,5347,no,no,5.56,0,,0,0.0,0.0,0,1
238,5355,yes,yes,10.47,7,,0,0.0,0.0,0,1
239,5422,yes,yes,11.92,16,1.79,0,34.2,2.3,0,0
240,5442,no,no,11.92,24,,0,,,0,0
241,5449,no,no,6.95,1,,0,0.0,0.0,0,1
242,5472,no,no,9.72,8,,1,6.5,0.6,0,1
243,5510,no,no,12.34,22,,0,0.0,0.0,0,1
244,5516,yes,no,11.17,33,,0,0.0,0.0,0,1
245,5636,no,no,8.55,14,0.0,0,14.4,0.8,3,1
246,5660,yes,no,8.82,21,,0,3.3,0.3,0,1
247,5680,yes,no,6.18,14,,0,0.0,0.0,0,1
248,5684,yes,no,8.98,24,,1,27.1,9.4,0,1
249,5694,yes,no,11.92,24,,0,,,0,0
250,5721,yes,no,11.92,21,0.33,0,31.4,5.0,0,0
251,5746,yes,yes,10.09,59,,2,27.1,23.9,0,1
252,5754,no,no,6.08,14,,0,0.0,0.0,0,1
253,5767,yes,no,6.37,14,,0,0.0,0.0,0,1
254,5780,no,no,7.58,13,,0,1.6,0.2,0,1
255,5786,yes,no,11.92,19,1.78,1,30.3,1.3,0,0
256,5793,no,no,9.42,32,,0,23.2,5.3,0,1
257,5872,yes,no,11.92,21,1.93,1,125.2,6.6,0,0
258,5896,no,no,11.92,59,,0,,,0,0
259,5960,no,no,6.55,20,,2,0.0,0.0,0,1
260,5969,yes,no,11.89,0,,0,0.0,0.0,0,1
261,6003,no,no,7.41,21,,1,2.4,0.9,0,1
262,6009,no,no,5.28,0,,0,0.0,0.0,0,1
263,6016,yes,no,7.05,23,,3,0.0,0.0,0,1
264,6034,no,no,8.32,12,0.0,0,4.9,0.6,0,1
265,6115,no,no,6.19,53,,2,0.0,0.0,0,1
266,6147,yes,no,7.32,21,,0,2.9,0.1,0,1
267,6149,yes,no,11.92,22,1.16,0,19.5,2.0,0,0
268,6171,yes,yes,12.76,10,0.57,0,22.3,4.4,0,1
269,6191,no,no,7.47,24,0.0,0,7.5,1.5,0,1
270,6192,yes,no,8.52,19,,0,0.0,0.0,0,1
271,6194,yes,yes,11.92,17,1.95,0,7.3,0.8,0,0
272,6202,no,no,5.37,15,1.86,0,0.0,0.0,0,1
273,6219,no,no,7.04,0,,0,0.0,0.0,7,1
274,6222,yes,no,6.84,0,,0,0.0,0.0,0,1
275,6223,yes,yes,11.92,29,0.23,0,16.1,1.0,0,0
276,6231,yes,yes,11.92,20,0.37,0,134.6,7.3,0,0
277,6270,no,no,5.73,13,,0,0.0,0.0,0,1
278,6277,no,no,10.36,18,,0,0.0,0.0,0,1
279,6283,yes,yes,11.92,22,1.96,0,62.2,5.1,0,0
280,6303,no,no,7.25,13,,0,0.0,0.0,0,1
281,6330,no,no,8.69,162,,0,0.0,0.0,0,1
282,6347,no,no,11.92,66,0.01,0,370.4,14.8,0,0
283,6372,yes,no,9.45,26,0.0,0,11.0,2.6,0,1
284,6390,yes,no,11.92,25,0.21,0,1.9,0.1,0,0
285,6424,no,no,5.55,14,,0,0.0,0.0,0,1
286,6492,yes,no,11.42,22,0.0,0,15.5,1.2,0,1
287,6505,no,no,5.6,0,,0,0.0,0.0,0,1
288,6517,yes,no,9.03,20,,0,2.1,0.4,0,1
289,6518,yes,no,7.39,13,,0,12.7,0.6,0,1
290,6556,yes,no,8.55,20,0.0,2,30.8,2.6,0,1
291,6558,yes,no,6.48,35,,0,0.0,0.0,0,1
292,6572,no,no,5.44,14,,1,0.0,0.0,0,1
293,6597,no,no,5.25,13,,0,0.0,0.0,0,1
294,6614,no,no,5.85,22,,0,0.0,0.0,0,1
295,6617,yes,yes,11.13,17,0.0,1,2.5,0.1,0,1
296,6640,yes,no,11.92,22,0.07,0,64.1,7.1,0,0
297,6689,yes,no,11.74,24,,0,60.2,3.3,0,1
298,6691,no,no,5.77,14,,0,0.0,0.0,0,1
299,6727,no,no,5.6,0,,0,0.0,0.0,0,1
300,6777,yes,yes,10.8,21,0.0,0,8.0,1.3,0,1
301,6787,yes,no,9.95,32,,0,5.6,0.3,0,1
302,6846,yes,yes,11.92,71,1.16,0,86.3,2.9,0,0
303,6848,no,no,5.6,0,,0,0.0,0.0,0,1
304,6851,yes,no,11.92,22,1.44,0,70.2,2.5,0,0
305,6861,no,no,10.09,20,,0,0.0,0.0,0,1
306,6862,no,no,10.46,19,,0,0.0,0.0,0,1
307,6864,yes,no,5.79,14,,0,0.0,0.0,0,1
308,6891,yes,no,8.35,0,,0,0.0,0.0,0,1
309,6954,yes,yes,11.92,17,0.21,0,,,0,0
310,6956,no,no,5.64,20,0.0,1,0.0,0.0,0,1
311,6993,no,no,11.36,56,,0,0.0,0.0,0,1
312,7001,yes,no,6.57,21,,0,0.0,0.0,0,1
313,7003,no,no,5.33,13,,0,0.0,0.0,0,1
314,7014,yes,no,8.1,75,,0,39.4,1.7,0,1
315,7027,yes,no,10.39,21,,0,0.0,0.0,0,1
316,7041,no,no,9.19,20,,0,0.0,0.0,0,1
317,7057,yes,yes,11.92,20,0.46,0,105.7,7.9,0,0
318,7083,no,no,5.6,0,,0,0.0,0.0,0,1
319,7100,no,no,10.89,0,,0,0.0,0.0,0,1
320,7115,yes,yes,11.92,65,0.15,0,22.5,1.0,0,0
321,7150,no,no,5.29,0,,0,0.0,0.0,0,1
322,7155,no,no,5.93,0,,0,0.0,0.0,0,1
323,7166,no,no,7.71,14,,0,2.0,0.5,0,1
324,7174,no,no,11.92,12,,0,2.9,0.1,2,0
325,7203,no,no,5.6,0,,0,0.0,0.0,0,1
326,7245,yes,no,6.56,0,,0,0.0,0.0,0,1
327,7302,no,no,5.28,43,,0,0.0,0.0,0,1
328,7352,yes,yes,12.3,0,,0,0.0,0.0,0,1
329,7358,yes,no,11.92,21,0.49,0,33.5,11.2,0,0
330,7369,no,no,6.7,23,0.53,4,0.0,0.0,0,1
331,7384,yes,yes,11.92,10,1.27,0,,,0,0
332,7392,no,no,11.92,25,0.21,1,22.0,0.8,0,0
333,7428,yes,yes,11.92,19,1.78,2,62.7,5.7,0,0
334,7452,yes,no,8.96,20,,0,0.0,0.0,0,1
335,7465,yes,yes,5.22,13,,0,0.0,0.0,0,1
336,7495,no,no,5.34,13,,0,0.0,0.0,0,1
337,7502,yes,yes,10.95,0,,0,0.0,0.0,0,1
338,7537,no,no,5.62,10,,0,0.0,0.0,0,1
339,7560,yes,no,11.91,22,1.28,0,35.8,2.1,0,0
340,7568,no,no,8.09,12,,0,1.5,0.2,0,1
341,7592,no,no,5.84,15,0.0,2,0.0,0.0,0,1
342,7607,no,no,11.91,24,,0,120.3,10.0,0,0
343,7650,yes,no,6.71,23,,2,0.0,0.0,0,1
344,7674,no,no,7.62,23,,0,1.5,0.2,0,1
345,7690,no,no,8.44,19,0.0,0,1.7,0.3,0,1
346,7695,yes,no,11.91,20,1.3,1,34.2,5.1,0,0
347,7696,no,no,5.6,0,,0,0.0,0.0,0,1
348,7714,yes,yes,11.91,10,1.13,0,7.5,1.1,0,0
349,7778,no,no,5.44,13,,0,0.0,0.0,0,1
350,7813,no,no,7.23,23,,0,4.2,0.3,0,1
351,7829,no,no,6.88,24,,1,0.0,0.0,0,1
352,7830,yes,no,10.75,6,0.0,0,23.4,1.9,0,1
353,7877,no,no,5.47,21,,0,0.0,0.0,0,1
354,7884,no,no,5.5,0,,0,0.0,0.0,0,1
355,7916,no,no,7.62,23,,0,0.5,0.0,0,1
356,7953,yes,no,9.46,25,0.0,0,34.0,2.3,0,1
357,7967,yes,no,11.05,30,0.0,0,115.1,7.0,0,1
358,7992,yes,no,5.44,21,,0,0.0,0.0,0,1
359,7994,yes,yes,11.8,22,1.17,0,51.4,6.5,0,0
360,8006,yes,yes,11.8,25,1.68,0,51.6,5.1,0,0
361,8011,yes,yes,11.8,57,,0,156.0,12.8,0,0
362,8034,no,no,7.1,12,,0,15.0,0.8,0,1
363,8036,yes,no,7.15,0,,0,0.3,0.0,0,1
364,8037,yes,no,7.16,0,,0,0.0,0.0,0,1
365,8058,yes,yes,11.79,20,0.54,0,56.4,5.4,0,0
366,8109,yes,no,10.69,40,0.49,1,611.9,54.7,0,1
367,8134,yes,no,8.34,18,,0,11.2,0.6,0,1
368,8195,yes,no,7.71,0,,0,1.8,0.2,5,1
369,8230,yes,yes,11.76,25,0.1,0,10.6,0.8,0,0
370,8255,yes,no,9.85,34,0.0,0,43.8,7.1,0,1
371,8332,yes,no,10.81,33,,0,7.7,1.2,0,1
372,8338,no,no,6.67,13,,0,0.0,0.0,0,1
373,8346,yes,no,11.74,3,,0,4.3,0.3,1,0
374,8373,yes,yes,5.7,0,,0,0.0,0.0,6,1
375,8404,yes,no,10.9,22,0.0,0,44.3,5.2,0,1
376,8435,yes,no,9.19,24,,0,12.6,0.6,0,1
377,8444,no,no,5.81,13,,0,0.0,0.0,0,1
378,8451,no,no,8.21,0,,0,11.6,0.6,6,1
379,8461,no,no,5.34,12,,0,0.0,0.0,0,1
380,8468,no,no,5.21,15,,0,0.0,0.0,3,1
381,8483,yes,yes,5.81,0,,0,0.0,0.0,6,1
382,8492,yes,yes,11.72,26,1.43,0,53.1,7.6,0,0
383,8510,yes,yes,11.72,21,0.1,1,22.4,3.0,0,0
384,8582,no,no,5.4,0,,0,0.0,0.0,0,1
385,8589,yes,no,5.91,14,,2,0.0,0.0,0,1
386,8596,yes,yes,5.39,13,,0,0.0,0.0,0,1
387,8607,no,no,8.56,40,,0,38.6,3.0,0,1
388,8614,yes,yes,10.1,26,,1,43.3,1.9,0,1
389,8668,no,no,8.46,20,0.0,0,5.1,0.4,0,1
390,8673,no,no,5.87,0,1.15,3,0.0,0.0,6,1
391,8688,no,no,5.98,0,,1,0.0,0.0,6,1
392,8691,yes,no,11.7,20,1.61,0,13.1,0.6,0,0
393,8697,yes,yes,11.7,19,1.93,0,38.4,3.1,0,0
394,8704,no,no,9.33,16,,0,7.4,0.9,1,1
395,8713,no,no,4.84,12,,0,0.0,0.0,0,1
396,8752,yes,no,11.69,21,0.27,0,166.0,11.0,0,0
397,8763,yes,no,5.72,23,,6,0.0,0.0,0,1
398,8767,no,no,7.37,0,,0,0.0,0.0,0,1
399,8770,no,no,5.32,17,0.0,0,0.0,0.0,0,1
400,8779,yes,no,11.68,25,0.33,0,36.3,2.0,0,0
401,8835,yes,no,11.86,17,,0,17.3,1.3,0,1
402,8922,yes,no,8.88,25,,3,5.3,0.7,0,1
403,8929,yes,no,8.91,24,0.0,0,2.4,0.1,0,1
404,8942,yes,yes,11.66,22,0.83,3,15.4,1.8,0,0
405,8958,yes,yes,11.65,21,0.43,0,22.3,1.6,0,0
406,8975,yes,yes,11.65,10,1.16,0,50.2,6.3,0,0
407,8983,no,no,5.25,14,,0,0.0,0.0,0,1
408,8993,no,no,8.72,17,,0,0.0,0.0,0,1
409,9003,yes,yes,11.64,15,1.13,0,108.3,5.6,0,0
410,9013,yes,no,11.64,12,1.02,2,34.6,1.7,0,0
411,9017,no,no,11.64,24,,0,6.2,0.4,0,0
412,9018,yes,yes,7.94,24,,0,25.1,1.8,0,1
413,9061,yes,no,11.62,79,1.86,2,70.2,9.0,0,0
414,9069,yes,no,7.6,14,,0,4.2,0.5,0,1
415,9080,yes,no,11.62,20,0.76,0,13.6,0.9,0,0
416,9112,yes,yes,5.92,12,,0,0.0,0.0,0,1
417,9115,yes,no,11.61,21,0.09,1,21.8,2.8,0,0
418,9145,no,no,6.99,15,,0,6.0,0.6,0,1
419,9157,yes,yes,11.6,21,0.44,0,44.3,3.1,0,0
420,9161,yes,yes,12.33,10,0.5,1,14.8,3.4,0,1
421,9167,yes,yes,11.6,15,1.64,0,15.0,1.3,0,0
422,9185,no,no,5.61,0,0.0,0,0.0,0.0,0,1
423,9192,yes,no,5.76,13,,0,0.0,0.0,0,1
424,9210,no,no,5.18,24,,0,0.0,0.0,0,1
425,9211,yes,no,11.59,20,1.0,0,69.6,4.1,0,0
426,9225,yes,yes,6.74,0,,0,0.0,0.0,0,1
427,9232,yes,yes,11.59,10,1.17,0,16.2,0.9,0,0
428,9260,no,no,10.0,24,,0,47.9,2.4,0,1
429,9269,yes,yes,6.3,0,,0,0.0,0.0,0,1
430,9291,yes,no,9.46,19,0.0,0,2.2,0.2,0,1
431,9388,yes,no,6.57,13,,0,0.0,0.0,0,1
432,9393,no,no,5.24,0,,0,0.0,0.0,0,1
433,9493,yes,no,4.9,0,0.7,0,0.0,0.0,2,1
434,9564,yes,yes,5.86,19,,4,0.0,0.0,0,1
435,9572,yes,yes,11.49,10,1.22,0,16.2,2.8,0,0
436,9591,yes,no,7.66,17,,0,6.2,0.5,0,1
437,9601,yes,yes,11.47,21,0.05,1,15.4,1.3,0,0
438,9607,yes,no,7.78,0,0.0,0,22.3,1.6,0,1
439,9706,no,no,8.02,22,0.0,1,8.7,0.5,0,1
440,9752,no,no,8.06,20,,3,2.1,0.2,0,1
441,9759,no,no,4.67,13,,1,0.0,0.0,0,1
